core/mkinitcpio 22-1 [installed]
core/mkinitcpio-busybox 1.25.1-1 [installed]
extra/mono 4.6.1.3-1 [installed]
extra/mono-addins 1.1-1 [installed]
core/mpfr 3.1.5.p2-1 [installed]
extra/mpg123 1.23.8-1 [installed]
extra/mtdev 1.1.5-1 [installed]
extra/mtools 4.0.18-3 [installed]
core/ncurses 6.0+20161224-1 [installed]
extra/netcdf 4.4.1-2 [installed]
core/netctl 1.12-2 (base) [installed]
core/nettle 3.3-1 [installed]
core/npth 1.3-1 [installed]
core/nspr 4.13.1-1 [installed]
core/nss 3.28.1-1 [installed]
extra/numactl 2.0.11-1 [installed]
extra/nvidia 375.26-6 [installed]
extra/nvidia-utils 375.26-2 [installed]
extra/ocl-icd 2.2.10-1 [installed]
extra/octave 4.2.0-1 [installed]
extra/openal 1.17.2-2 [installed]
community/openbox 3.6.1-3 (lxde lxde-gtk3 lxqt) [installed]
extra/opencl-headers 2:2.1.20151224-1 [installed]
extra/opencl-nvidia 375.26-2 [installed]
extra/opencore-amr 0.1.3-2 [installed]
extra/openexr 2.2.0-3 [installed]
extra/openjpeg2 2.1.2-2 [installed]
extra/openmp 3.9.1-1 [installed]
extra/openmpi 1.10.5-1 [installed]
core/openresolv 3.8.1-1 [installed]
core/openssh 7.4p1-2 [installed]
core/openssl 1.0.2.k-1 [installed]
extra/opus 1.1.4-1 [installed]
extra/orc 0.4.26-1 [installed]
core/p11-kit 0.23.2-1 [installed]
extra/p7zip 16.02-2 [installed]
archlinuxfr/package-query 1.8-1 [installed]
core/pacman 5.0.1-4 (base base-devel) [installed]
core/pacman-mirrorlist 20170201-1 [installed]
core/pam 1.3.0-1 [installed]
core/pambase 20130928-1 [installed]
extra/pango 1.40.3-2 [installed]
extra/pangomm 2.40.1-1 [installed]
core/patch 2.7.5-1 (base-devel) [installed]
extra/pavucontrol 3.0-4 [installed]
core/pciutils 3.5.2-1 (base) [installed]
community/pcmanfm 1.2.5-1 (lxde) [installed]
core/pcmciautils 018-7 (base) [installed]
core/pcre 8.39-2 [installed]
core/perl 5.24.1-1 (base) [installed]
extra/perl-crypt-passwdmd5 1.40-1 [installed]
extra/perl-digest-sha1 2.13-7 [installed]
extra/perl-encode-locale 1.05-1 [installed]
extra/perl-error 0.17024-1 [installed]
extra/perl-file-basedir 0.07-1 [installed]
extra/perl-file-desktopentry 0.22-1 [installed]
extra/perl-file-listing 6.04-2 [installed]
extra/perl-file-mimeinfo 0.28-1 [installed]
extra/perl-html-parser 3.72-2 [installed]
extra/perl-html-tagset 3.20-4 [installed]
